,Title,Year,Genre,Author,Summary,Country,ISBN,Publication
1,to kill a mocking bird,2010," Domestic Fiction, Novel, Thriller",Harper Lee,"Scout Finch lives with her brother Jem, and their widowed father, Atticus, in the sleepy Alabama town of Maycomb. ... Scout goes to school for the first time that fall and detests it. She and Jem find gifts apparently left for them in a knothole of a tree on the Radley property.",USA,9.78E+12,J. B. Lippincott & Co.
2,the handmaid's tale,1996,"Science Fiction, Novel",Margaret Atwood,"Offred is a Handmaid in the Republic of Gilead, a totalitarian and theocratic state that has replaced the United States of America. ... As Offred tells the story of her daily life, she frequently slips into flashbacks, from which the reader can reconstruct the events leading up to the beginning of the novel.",USA,'0099740915, McClelland & Stewart
3,wolf hall,2009,Historical Fiction,Hilary Mantel,"the first in a trilogy – is a biographical account of the rags-to-riches story of Thomas Cromwell. ... As a child, Cromwell is at the mercy of a brutish father, a crude man who beats him frequently.",USA,7353553,Fourth Estate
4,the picture of dorian gray,2015,"Gothic fiction, Philosophical fiction",Oscar Wilde,"In the stately London home of his aunt, Lady Brandon, the well-known artist Basil Hallward meets Dorian Gray. Dorian is a cultured, wealthy, and impossibly beautiful young man who immediately captures Basil’s artistic imagination.",United Kingdom,9.79E+12,Fingerprint! Publishing
5,sunlight on a broken column,2009,Fiction,Attia Hosain,"Sunlight on a Broken Column was written by Attia Hosain and was published in 1961. The novel is set in Lucknow, India, and the protagonist and topic of this autobiography is a fictional girl named Laila, who is the daughter of a rich Muslim family and is an orphan",India, 014306648X,Penguin India
6,13 steps to bloody good health,2019,"Health, Fitness",Ashwin Sanghi,"Ashwin mocks traditionalists in the face by titling his book the “It is tragic that we get old too soon and wise up to life too late. There’s so much we could—and should—have done to get to this point in better shape. The question is: what should we do now? But health remedies are dime-a-dozen, each one contradicting another.",India,9387894681, Westland
7,"health, hygiene and nutrition - 3 tiers of a good living",2017,"Health, Fitness",Prof.P.K.Ray,"Health, Hygiene and Nutrition - 3 Tiers of a Good Living brings forth information regarding how to maintain good health by living in a healthy, hygienic environment as well as assuring you have nutritious food. To be able to keep a track of all these, one first has to be knowledgeable and then practice them in everyday life.",India,1946822272,Notion Press
8,13 steps to bloody good parenting,2019,"Health, Fitness, Lifestyle",Ashwin Sanghi,"In this age of hyper-information, parenting is much like tap-dancing in a minefield. There was a time when parents had nothing to draw from except for their experiences with their own parents.",India,938757878X,Westland
9,atomic habits: an easy and proven way to build good habits and break bad one,2018,"Health, Lifestyle",James Clear,"The premise of Atomic Habits by James Clear is that it's very easy to underestimate the value of making small improvements on a daily basis. ... In fact, according to Atomic Habits, habits are the compound interest of self-improvement",USA,B01N5AX61W,Cornerstone Digital
10,autobiography of a yogi,2006,"Health, Yoga",Paramahansa Yogananda,"Paramhansa Yogananda, widely credited with bringing yoga to the west, tells the story of his remarkable lifelong spiritual journey in Autobiography of a Yogi. From a very young age, Yogananda, born Mukunda Lal Ghosh, was clearly more spiritually natured than most",India,8120725247,Sterling Publishers Pvt.Ltd; UK ed. Edition
11,the blind assassin: a novel,2009,"Historical Fiction, Psychological Fiction",Margaret Atwood,"In this family history, she tells the story of her sister, Laura, a troubled young woman who committed suicide by driving off a bridge. Laura has since become famous thanks to the posthumous publication of her novel, The Blind Assassin. Iris and Laura live with their parents at Avilion, the family estate.",USA,385720955, McClelland & Stewart
12,the c programming language,2015,"Programing, Computer Science",Dennis Ritchie,"This book is meant to help the reader learn how to program in C. It is the definitive reference guide, now in a second edition. Although the first edition was written in 1978, it continues to be a worldwide best-seller. This second edition brings the classic original up to date to include the ANSI standard.",India,9332549443,Pearson Education India
13,the c++ programming language,2013,"Programing, Computer Science",Bjarne Stroustrup,"More than three-quarters of a million programmers have benefited from this book in all of its editions Written by Bjarne Stroustrup, the creator of C++, this is the world's most trusted and widely read book on C++. For this special hardcover edition, two new appendixes on locales and standard library exception safety",USA,321563840,Addison-Wesley Professional
14,a smarter way to learn python: learn it faster. remember it longer,2017,"Programing, Computer Science",Mark Myers,"More than three-quarters of a million programmers have benefited from this book in all of its editions Written by Bjarne Stroustrup, the creator of C++, this is the world's most trusted and widely read book on C++. For this special hardcover edition, two new appendixes on locales and standard library exception safety",USA,1974431479,CreateSpace Independent Publishing Platform
15,sql quickstart guide: the simplified beginner's guide to sql,2015,"Programing, Database",ClydeBank Technology,The Ultimate Beginner's Guide To Learning SQL - From Retrieving Data To Creating Databases! Structured Query Language or SQL (pronounced sequel by many) is the most widely used programming language used in database management and is the standard language for Relational Database Management Systems,USA,1508767483,CreateSpace Independent Publishing Platform
16,war and peace,1869,Historical Novel, Leo Tolstoy,War and Peace is a novel by the Russian author Leo Tolstoy. It is regarded as a central work of world literature and one of Tolstoy's finest literary achievements.,Russia,9.78E+12,The Russian Messenger
17,what we’re teaching our sons,2018,"Poetry, Domestic Fiction", Owen Booth,"We’re teaching our sons about money; about heartbreak, and mountains, and philosophy. We’re teaching them about the big bang and the abominable snowman and what happens when you get struck by lightning. We’re teaching them about the toughness of single mothers, and ",United Kingdom,9.78E+12,Fourth Estate
18,the illustrated history of world war ii,1980,"History, Military","Owen Booth,  John H. Walton","A comprehensive and informative account of the greatest conflict in the history of the world. Illustrated with over 500 black and white and color photographs and artworks. Twenty-six full-color maps showing what happened during specific engagements on land and sea, and in the air.",USA,785810161,Chartwell Books
19,alias grace,1996,"Novel, Historical Fiction, Biographical Fiction", Margaret Atwood,"Margaret Atwood was born in 1939 in Ottawa and grew up in northern Ontario, Quebec, and Toronto. She received her undergraduate degree from Victoria College at the University of Toronto and her master's degree from Radcliffe College.",United Kingdom,077100835X,McClelland & Stewart
20,the progress of love,1986,"Short story, Domestic Fiction",Alice Munro,A divorced woman returns to her childhood home where she confronts the memory of her parents' confounding yet deep bond.,Canada,077106666X,McClelland & Stewart
21,dance of the happy shades,1968,"Short story, Fiction, Short story collection",Alice Munro,"Alice Munro's territory is the farms and semi-rural towns of south-western Ontario. In these dazzling stories she deals with the self-discovery of adolescence, the joys and pains of love and the despair and guilt of those caught in a narrow existence.",Canada,99273772, Ryerson Press
22,the moons of jupiter,1982,"Short story, Fiction",Alice Munro,"The Moons of Jupiter is a book of short stories by Alice Munro, published by Macmillan of Canada in 1982. It was nominated for the 1982 Governor General's Award for English Fiction. The title of the collection follows from the last short story in the collection",Canada,99458365,Macmillan of Canada
23,resurrection,1899,"Philosophical fiction, Political fiction",Leo Tolstoy,Resurrection (1899) is the last of Tolstoy's major novels. It tells the story of a nobleman's attempt to redeem the suffering his youthful philandering inflicted on a peasant girl who ends up a prisoner in Siberia.,Russia,735102864,Niva
24,in cold blood,1966,"Crime Fiction, Non-fiction novel", Truman Capote,,USA,679745580, Random House
25,crime and punishment,1866," Mystery, Crime Fiction, Historical Fiction, Psychological Fiction, Philosophical fiction",Fyodor Dostoyevsky,"askolnikov, an impoverished student living in the St. Petersburg of the tsars, is determined to overreach his humanity and assert his untrammeled individual will. ",Russia,486415872,The Russian Messenger
26,silent spring,1962,Non-fiction,Rachel Carson,"Silent Spring is an environmental science book by Rachel Carson. The book was published on September 27, 1962, documenting the adverse environmental effects caused by the indiscriminate use of pesticides.",USA,9.79E+12,Houghton Mifflin
27,the sea around us,1951,"Non-fiction, Nature writing", Rachel Carson,"The Sea Around Us is a prize-winning and best-selling book by the American marine biologist Rachel Carson, first published as a whole by Oxford University Press in 1951.",USA,1906509654,Oxford University Press
28,the edge of the sea,1955,"Non-fiction, Nature writing",Rachel Carson,The Sea Around Us and Under the Sea-Wind introduced Rachel Carson to a reading public eager to welcome a scientist who wrote like a poet. This poetic quality is again dominant in this interpretation ,USA,395924960,Mariner Books
29,a sand county almanac: and sketches here and there,1949,"Biography, Nature writing",Aldo Leopold,"A Sand County Almanac: And Sketches Here and There is a 1949 non-fiction book by American ecologist, forester, and environmentalist Aldo Leopold.",USA,195007778,Oxford University Press
30,the immortal life of henrietta lacks,2010,Biography,Rebecca Skloot,"The Immortal Life of Henrietta Lacks is a non-fiction book by American author Rebecca Skloot. It was the 2011 winner of the National Academies Communication Award for best creative work that helps the public understanding of topics in science, engineering or medicine",USA,1400052173, Crown Publishing Group
31,the woman in the window,2018,"Thriller, Fiction, Suspense, Psychological thriller", A. J. Finn,"Anna Fox spends her day drinking wine, watching old movies, and spying on her neighbors. But when she sees something she shouldn't, Anna's world begins to crumble.",USA,1683318080,HarperCollinsPublishers
32,the next to die,2001," Fiction, Thriller, Suspense, Psychological thriller",Kevin O'Brien,"With ""The Next to Die"", acclaimed author Kevin O'Brien delivers an intricate, provocative and taut tale of psychological suspense. …",USA,786017562,Kensington Publishing Corporation
33,an american marriage,2018,Domestic Fiction,Tayari Jones,"Newlyweds Celestial and Roy are the embodiment of both the American Dream and the New South. He is a young executive, and she is an artist on the brink of an exciting career.",USA,1616201347,OPRAH’S BOOK CLUB 2018 SELECTION
34,then she was gone,2017,"Mystery, Thriller, Suspense, Domestic Fiction",Lisa Jewell,"THEN She was fifteen, her mother's golden girl. She had her whole life ahead of her. And then, in the blink of an eye, Ellie was gone. ",United Kingdom,1501154648,Simon & Schuster
35,the third wife,2014,"Mystery, Psychological Fiction, Domestic Fiction",Lisa Jewell,"n the early hours of a summer morning, a young woman steps into the path of an oncoming bus. A tragic accident? Or suicide? At the center of this puzzle is Adrian Wolfe, a successful architect and grief-stricken widower, who, a year after his third wife's death, begins to investigate the cause.",United Kingdom,9.78E+12,Simon & Schuster
36,i found you,2016,"Fiction, Mystery, Thriller, Suspense",Lisa Jewell,"How long have you been sitting out here?''I got here yesterday.''Where did you come from?''I have no idea.'East Yorkshire-Single mum Alice Lake finds a man on the beach outside her house. He has no name, no jacket, no idea what he is doing there.",United Kingdom,1501154591,Simon & Schuster
37,fifty shades of grey,2011,"Fiction, Romance novel, Erotic romance novel",E. L. James,"Fifty Shades of Grey is a 2011 erotic romance novel by British author E. L. James. It became the first instalment in the Fifty Shades novel series that traces the deepening relationship between a college graduate, ",United Kingdom,9.79E+12,Vintage Books
38,fifty shades darker,2012,"Erotic literature, Erotic romance novel",E. L. James,"Fifty Shades Darker is a 2012 erotic romance novel by British author E. L. James. It is the second installment in the Fifty Shades trilogy that traces the deepening relationship between a college graduate, Anastasia Steele, and a young business magnate, Christian Grey.",United Kingdom,9.79E+12,Vintage Books
39,fifty shades freed,2012,"Erotic literature, Fiction, Romance novel, Erotic romance novel",E. L. James,Fifty Shades Freed is the third and final installment of the erotic romance Fifty Shades Trilogy by British author E. L. James,United Kingdom,345803507,Vintage Books
40,the kiss quotient,2018,"Fiction, Romance novel, Contemporary romance", Helen Hoang,"A thirty-year-old woman with Asperger's makes sense of her life using math, but one thing she can't handle is dating and the intimacy she feels it requires. Her conclusion: she needs lots of practice--with a professional",USA,9.78E+12,Center Point Large Print
41,the magic of thinking big,1959,"Self-help book, Business, Motivation",David J. Schwartz,"The Magic of Thinking Big, first published in 1959, is a self-help book by David J. Schwartz. An abridged version was published in 1987. Forbes called it one of the greatest self-help books.",USA,9.78E+12,"Wilshire Book Co, Chatsworth, California"
42,think and grow rich,1937,"Self-help book, Business, Motivation",Napoleon Hill,"hink and Grow Rich was written in 1937 by Napoleon Hill, promoted as a personal development and self-improvement book. Hill writes that he was inspired by a suggestion from business magnate and later-philanthropist Andrew Carnegie",USA,9.79E+12,The Ralston Society
43,the law of success,1925,"Self-help book, Business, Motivation",Napoleon Hill,"The Law of Success is a 1925 book – actually in the form of a set of 15 separate booklets – by Napoleon Hill. It was released as a limited edition of 118 copies and was given to many of Americas most successful individuals, all of whom had contributed to the book's content.",USA,9.78E+12,Tribeca Books
44,outwitting the devil,2011,"Self-help book, Business, Motivation",Napoleon Hill,"Outwitting the Devil is a book by Napoleon Hill, with annotations by Sharon Lechter. It was originally written in 1938 by Hill, but was said to be too controversial to be published during that time period. It was released by Sterling Publishing in June, 2011. The book is an interview between Hill and The Devil.",USA,9.78E+12,Sterling Publishing
45,the president is missing,2018,"Mystery, Thriller, Suspense, Crime Fiction, Political thriller, Political fiction",Bill Clinton and James Patterson,The book begins with US President Jonathan Lincoln Duncan rehearsing a potential testimony with a House of Representatives select committee.,USA,9.78E+12,"Alfred A. Knopf, Inc."
46,transfer of power,1999,"Thriller, Suspense, Political thriller, Political fiction",Vince Flynn,Rapp is introduced while he is performing a covert operation in Iran and he discovers a possible terrorist attack planned for the nation's capital to happen in the near future. ,USA,1416516352,Pocket Books
47,order to kill,2016,"Thriller, Suspense, Spy fiction, Adventure fiction, Political thriller, Political fiction",Kyle Mills and Vince Flynn,"In the next thrilling novel in the #1 New York Times bestselling Mitch Rapp series, the anti-terrorism operative heads to Pakistan to confront a mortal threat he may not be prepared for. In fact, this time he might have met his match.",USA,1471148300,Simon & Schuster
48,the survivor,2015,"Mystery, Thriller, Suspense, Political thriller, Political fiction",Kyle Mills and Vince Flynn,"Top secret data has been stolen from the CIA, and the only man who knows its hiding place is dead. CIA operative Mitch Rapp must race to find the classified information in this novel that acts as a continuation of the previous novel, The Last Man",USA,978-1476783451,Simon & Schuster
49,oath of office,2018,"Thriller, Suspense, War story, Spy fiction, Adventure fiction, Political thriller, Political fiction, Techno-thriller",Marc Cameron,"In Iran, a series of protests break out between a group of dissidents led by Reza Kazem and the Iranian theocratic government in what is favorably dubbed by the general media as the Persian Spring.",USA,9.78E+12,G. P. Putnam's Sons
50,separation of power,2001,"Mystery, Thriller, Suspense, Political thriller, Political fiction",Vince Flynn,"The novel is set shortly after the events of The Third Option. CIA Director Thomas Stansfield has succumbed to his terminal cancer, leaving many in Washington confused as to why his dying wish was to have the Director of the Counterterrorism Center Dr. Irene Kennedy to succeed him. ",USA,9.78E+12,Pocket Books
51,commander in chief,2015,"Political Thriller, Military Fiction",Mark Greaney,"In Russia, the silovik, a group of military & intelligence officers and businessmen who basically control the country’s affairs, are concerned about the country’s economic decline.",USA,9.78E+12,G. P. Putnam's Sons
52,devil in winter,2006,"Romance novel, Historical Fiction, Historical romance",Lisa Kleypas,"Evangeline Jenner stands to become the wealthiest Wallflower, once her inheritance comes due. Because she must first escape the clutches of her unscrupulous relatives,",USA,749942908,HarperCollinsPublishers
53,smarter faster better: the secrets of being productive in life and business,2016,"Self-help book, Business, Motivation",Charles Duhigg,"n his international bestseller The Power of Habit, Pulitzer Prize-winner Charles Duhigg explained why we do what we do. Now he applies the same relentless curiosity and masterful analysis to the question- how can each of us achieve more?",USA,1847947433,Random House
54,relentless: from good to great to unstoppable,2013,"Self-help book, Business, Motivation",Tim S. Grover,"For more than two decades, legendary trainer Tim Grover has taken the greats—Michael Jordan, Kobe Bryant, Dwyane Wade, and hundreds of relentless competitors in sports, business, and every walk of life—and made them greater. ",USA,1476714207,Simon & Schuster
55,this is me letting you go,2016,"Self-help book, Business, Motivation",Heidi Priebe,"Letting go is not a process that comes naturally to us. In a world that teaches us to cling to what we love at all costs, there is an undeniable art to moving on - and it's one that we are constantly relearning. ..",Canada,1530896657,CreateSpace Independent Publishing Platform
56,the minor,1782,"Farce, Comedy",Denis Fonvizin,"The Minor, is a 1782 play by Denis Fonvizin.",Russia,9.78E+12,Bradda Books Ltd
57,the flavor bible,2008,Cookbook,Andrew Dornenburg and Karen A. Page,Winner of the 2009 James Beard Book Award for Best Book: Reference and Scholarship Great cooking goes beyond following a recipe--it's knowing how to season ingredients to coax the greatest possible flavor from them,USA,9.78E+12,"Little, Brown and Company"
